brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group
Renault,Clio Estate,Renault Clio Estate,32350.0,2017,2,118.0,0,petrol,1.2,0,1,1,0,0,0,renault,Budget
Kia,Seltos,Kia Seltos,114900.0,2023,2,149.0,0,petrol,2.0,1,1,1,0,0,0,kia,Budget
Isuzu,D-MAX,Isuzu 2X4 D-MAX,79900.0,2016,2,163.0,0,diesel,2.5,1,0,1,0,0,0,isuzu,Other
Audi,Q2,Audi Q2,68800.0,2018,1,116.0,0,petrol,1.0,0,1,1,0,1,1,audi,Luxury
Volkswagen,Kravel,Volkswagen Kravel,10000.0,2021,1,150.0,0,diesel,2.0,1,0,1,0,0,0,volkswagen,Other
Mercedes,E-Class,Mercedes E-Class Taxi,10000.0,2018,2,194.0,0,diesel,2.0,0,1,1,1,0,0,mercedes,Luxury
Skoda,Superb,Skoda Superb (until 2019),68000.0,2017,2,180.0,0,petrol,1.8,0,1,1,1,0,0,skoda,Budget
Hyundai,Ioniq 6,Hyundai Ioniq 6,219900.0,2023,1,228.0,0,electric,,0,0,1,0,1,1,hyundai,Budget
Opel,Zafira,Opal Zafira,49000.0,2018,2,140.0,0,petrol,1.4,0,0,1,0,0,0,opel,Other
Seat,Atka,Seat Atka,93900.0,2021,1,150.0,0,petrol,1.5,0,1,1,0,1,1,seat,Budget
Kia,Sportage,Kia Sportage,82900.0,2020,2,177.0,0,petrol,1.6,1,1,1,0,0,0,kia,Budget
Citroen,Berlingo,Citroen Berlingo 2nd generation (2008-2019),59999.0,2019,1,75.0,0,diesel,1.6,0,0,1,1,0,0,citroen,Other
Mercedes,GLA,Mercedes GLA,10000.0,2018,2,156.0,0,petrol,1.6,1,1,1,0,0,0,mercedes,Luxury
Peugeot,3008,Peugeot 3008,83000.0,2019,2,130.0,0,diesel,1.5,0,1,1,1,0,0,peugeot,Other
Jeep,Jeep Cherokee,Jeep / Jeep Cherokee,55000.0,2015,5,184.0,0,petrol,2.4,1,1,0,0,0,0,jeep,Other
Peugeot,3008,Peugeot 3008,114990.0,2019,1,130.0,0,diesel,1.5,0,1,1,0,1,1,peugeot,Other
Hyundai,i10,Hyundai i10,62000.0,2020,2,84.0,0,petrol,1.2,1,0,1,0,0,0,hyundai,Budget
Toyota,Hilux Vigo,Toyota Hilux Vigo 4X4,75900.0,2011,1,144.0,1,diesel,2.5,1,1,0,0,0,0,toyota,Budget
Mazda,CX-5,Mazda CX-5,66500.0,2015,1,165.0,0,petrol,2.0,0,1,0,1,0,0,mazda,Other
